TIME	RATE	ERROR
47455.31473	195.37279	4.78149
47455.31492	201.6943	4.76113
47455.3151	194.02785	4.81456
47455.31529	194.55872	4.77731
47455.31547	190.69444	4.73763
47455.31566	201.74623	4.81863
47455.31584	184.90793	4.72872
47455.31603	183.25241	4.74041
47455.31621	184.42953	4.70795
47455.31658	204.28198	4.87849
47455.31677	206.45926	4.85177
47455.31696	197.56042	4.81402
47455.31714	195.41728	4.75853
47455.31733	208.31186	4.91945
47455.31751	189.24695	4.73065
47455.3177	201.73311	4.8144
47455.31788	184.33093	4.7396
47455.31807	177.21951	4.71286
47455.31825	194.7898	4.76132
47455.31844	190.9823	4.74321
47455.31862	181.24776	4.69158
47455.31881	181.37845	4.69842
47455.31899	203.66571	4.8739
47455.31918	188.3465	4.73573
47455.31936	192.57664	4.79035
47455.31955	198.65823	4.84713
47455.31973	195.00464	4.79775
47455.31992	179.26013	4.75556
47455.3201	188.30626	4.78181
47455.32029	191.08214	4.79327
47455.32047	188.52534	4.76173
47455.32066	188.06795	4.75381
47455.32084	191.7263	4.78763
47455.32103	189.69403	4.78256
47455.32121	191.14278	4.73031
47455.3214	184.26195	4.72678
47455.32158	190.38216	4.78271
47455.32177	177.41353	4.7228
47455.32195	188.08144	4.77314
47455.32214	181.94939	4.7396
47455.32233	187.34676	4.73458
47455.32251	184.6386	4.78734
47455.3227	194.85555	4.86309
47455.32288	194.59825	4.82698
47455.32307	174.09282	4.70999
47455.32325	174.33105	4.74634
47455.32344	177.76797	4.73341
47455.32362	168.57959	4.72061
47455.3764	199.46309	4.88363
47455.37658	193.24739	4.8422
47455.37677	179.40955	4.74971
47455.37695	187.99886	4.80604
47455.37714	185.43575	4.78799
47455.37732	190.61203	4.85238
47455.37751	188.39522	4.77798
47455.37769	198.56421	4.88235
47455.37788	199.75926	4.85844
47455.37806	191.18655	4.83479
47455.37825	195.1834	4.8464
47455.37843	200.0472	4.84871
47455.37862	191.64839	4.79072
47455.3788	191.37328	4.80367
47455.37899	192.3654	4.83219
47455.37917	195.43784	4.81078
47455.37936	193.98712	4.76598
47455.37954	187.3583	4.7836
47455.37973	205.31491	4.80558
47455.37991	188.00438	4.76642
47455.3801	196.97372	4.79897
47455.38028	189.20435	4.77963
47455.38047	188.91943	4.76871
47455.38065	190.21452	4.7355
47455.38084	195.69417	4.77221
47455.38102	182.96664	4.71568
47455.38121	197.45093	4.84158
47455.38139	194.38908	4.81293
47455.38158	193.59148	4.77147
47455.38177	188.04918	4.73309
47455.38195	193.29178	4.78125
47455.38214	181.09523	4.72201
47455.38232	177.70837	4.69396
47455.38251	199.22101	4.81721
47455.38269	187.07692	4.72144
47455.38288	197.4863	4.83919
47455.38306	187.95781	4.75426
47455.38325	184.84392	4.69843
47455.38343	196.15375	4.80292
47455.38362	177.56451	4.69106
47455.3838	196.67216	4.81899
47455.38399	198.66536	4.77878
47455.38417	195.95819	4.79715
47455.38436	176.12625	4.67135
47455.38454	190.62265	4.77092
47455.38473	191.31874	4.76206
47455.38491	191.83823	4.74497
47455.3851	192.83127	4.76654
47455.38528	200.52927	4.82594
47455.38547	195.24048	4.81844
47455.38565	199.28357	4.76881
47455.38584	195.06326	4.80286
47455.38602	199.70996	4.902
47455.38621	197.45816	4.81149
47455.38639	200.35626	4.83068
47455.38658	200.36177	4.81769
47455.38676	211.79933	4.95547
47455.38695	196.72816	4.85013
47455.38714	200.95648	4.86458
47455.38732	205.47765	4.85154
47455.38751	226.25919	4.99233
47455.38769	209.03122	4.90873
47455.38788	206.45029	4.86543
47455.38806	205.49767	4.82705
47455.38825	200.5864	4.88672
47455.38843	208.156	4.88907
47455.38862	198.8014	4.883
47455.3888	190.0438	4.79706
47455.38899	210.70969	4.96054
47455.38917	207.68568	4.92075
47455.38936	211.05284	4.9088
47455.38954	200.992	4.84189
47455.38973	190.5885	4.79268
47455.38991	203.60495	4.85834
47455.3901	201.25438	4.92498
47455.39028	207.19205	4.8895
47455.39047	200.93765	4.8283
47455.39065	197.5192	4.87621
47455.39084	197.9097	4.88674
47455.39102	202.91135	4.88402
47455.39121	209.59868	4.89926
47455.39139	201.61865	4.9277
47455.39158	203.30585	4.90332
47455.39176	200.13744	4.89616
47455.44398	263.8186	5.36557
47455.44435	274.24884	5.43604
47455.44509	282.27365	5.42991
47455.44528	281.8547	5.44729
47455.44546	284.9838	5.45432
47455.44565	296.5144	5.51677
47455.44583	273.58505	5.34231
47455.44602	255.79161	5.27694
47455.4462	264.56628	5.33463
47455.44639	269.14273	5.34155
47455.44657	270.58408	5.36834
47455.44676	289.83505	5.46346
47455.44695	287.49292	5.49935
47455.44713	258.80075	5.25464
47455.44732	268.86716	5.38439
47455.4475	277.8485	5.40698
47455.44769	284.25018	5.41925
47455.44787	290.01895	5.47077
47455.44806	286.62878	5.50476
47455.44824	301.1999	5.44922
47455.44843	259.21478	5.32823
47455.44861	278.40414	5.4048
47455.4488	290.57214	5.47127
47455.44898	285.24924	5.45263
47455.44917	292.87482	5.45601
47455.44935	276.01468	5.39465
47455.44954	290.0067	5.44047
47455.44972	293.10666	5.51966
47455.44991	290.6585	5.44924
47455.45009	282.56693	5.39396
47455.45028	312.4993	5.58062
47455.45046	315.61224	5.59795
47455.45065	295.6559	5.47899
47455.45083	294.952	5.47727
47455.45102	314.81012	5.59377
47455.4512	301.8863	5.53818
47455.45139	290.02054	5.46176
47455.45157	261.79977	5.34228
47455.45176	293.46387	5.43296
47455.45194	272.73297	5.36025
47455.45213	274.6005	5.33568
47455.45232	260.95694	5.28653
47455.4525	285.6014	5.46477
47455.45269	297.10645	5.4833
47455.45287	295.16257	5.49028
47455.45306	262.21442	5.33142
47455.45324	275.391	5.40442
47455.45343	270.50192	5.31268
47455.45361	257.07693	5.28128
47455.4538	251.26086	5.21973
47455.45398	286.98755	5.41733
47455.45417	284.2058	5.42576
47455.45435	269.4769	5.36787
47455.45454	266.50803	5.32389
47455.45472	273.3767	5.34645
47455.45491	260.2905	5.28599
47455.45509	269.9252	5.3218
47455.45528	259.47437	5.28633
47455.45546	251.03673	5.25477
47455.45565	261.3565	5.34341
47455.45583	268.28262	5.32124
47455.45602	274.03162	5.3423
47455.4562	276.8369	5.36106
47455.45639	270.98782	5.33382
47455.45657	272.79675	5.39666
47455.45676	267.47238	5.33468
47455.45694	269.37494	5.33916
47455.45713	266.54733	5.35938
47455.45731	250.82343	5.25749
47455.4575	267.51523	5.33996
47455.45769	311.98352	5.56579
47455.45787	303.737	5.53554
47455.45806	293.7124	5.52545
47455.45824	276.98508	5.42009
47455.45843	289.4711	5.46381
47455.45861	273.37317	5.33693
47455.4588	259.7135	5.34196
47455.45898	270.07343	5.36574
47455.45917	270.05023	5.38991
47455.45935	262.26602	5.29151
47455.45954	253.82642	5.25359
47455.45972	252.8634	5.28016
47455.45991	256.2913	5.30744
47456.51607	181.55217	5.69705
47456.51681	200.31256	5.88414
47456.517	170.52661	5.72642
47456.51719	168.84193	5.71191
47456.51737	169.93787	5.71532
47456.51756	170.16188	5.71423
47456.51774	187.63208	5.80343
47456.51793	178.90999	5.75329
47456.51811	169.25891	5.58904
47456.5183	161.48616	5.6668
47456.51848	164.19228	5.65409
47456.51867	182.52544	5.76127
47456.51885	176.50648	5.71706
47456.51904	176.08743	5.72907
47456.51922	166.8926	5.62996
47456.51941	180.94978	5.70392
47456.51959	171.06406	5.6595
47456.51978	158.3437	5.53759
47456.51996	164.58849	5.67304
47456.52015	162.98979	5.60784
47456.52033	169.07285	5.64051
47456.52052	162.92818	5.63234
47456.5207	174.2004	5.63447
47456.52089	164.26894	5.60961
47456.52107	183.46486	5.725
47456.52126	157.35492	5.59499
47456.52144	168.9536	5.57518
47456.52163	170.78706	5.63923
47456.52181	163.15718	5.6051
47456.522	161.51784	5.59454
47456.52589	144.23582	6.53803
47456.52607	152.83443	5.50515
47456.52626	155.31601	5.5195
47456.52644	150.7728	5.50566
47456.52663	145.25362	5.50906
47456.52681	141.9669	7.74902
47456.52793	152.61206	5.48681
47456.52811	155.57558	5.66504
47456.80793	246.30702	6.55677
47456.857	299.0113	7.12873
47456.85738	296.3385	7.03659
47456.85756	303.42596	7.10218
47456.85775	282.77826	7.03325
47456.85793	295.3556	7.12613
47456.85812	304.95636	7.1266
47456.8583	295.54172	7.07957
47456.85849	286.70123	6.97588
47456.85867	273.08905	6.98506
47456.85886	264.78806	6.85804
47456.85904	268.60373	6.8714
47456.85923	254.18889	6.81015
47456.85941	267.7506	6.89216
47456.8596	262.72134	6.91891
47456.85978	268.8059	6.95263
47456.85997	267.22372	6.93084
47456.86015	269.55173	6.95178
47456.86034	263.78464	6.96038
47456.86052	275.28897	6.95155
47456.86071	255.51581	6.87291
