Time	CountRate	Error
43647.13624	5.27931	2.41609
43647.13624	2.25474	1.85125
43647.1363	5.26662	2.88939
43647.1363	4.54117	3.27482
43647.13636	-4.06673	3.58482
43647.30977	12.80253	5.29867
43647.30983	14.81956	3.3775
43647.30983	16.05054	6.60053
43647.30989	8.11376	2.21582
43647.30989	5.00334	1.85612
43647.30994	9.09697	2.48433
43647.30994	7.98798	2.60277
43647.31	9.84139	3.58022
43647.31006	25.97512	8.19662
43647.33519	7.30995	5.07871
43647.33525	4.7618	3.90966
43647.33525	9.65892	3.51384
43647.33531	8.85522	2.58976
43647.33531	10.6492	2.98646
43647.33537	10.30468	5.12772
43647.33537	12.24261	3.86323
43647.33543	8.97862	5.72011
43647.45994	7.52353	4.12758
43647.46	6.8857	3.19653
43647.46	5.19831	2.67166
43647.46006	6.81876	2.13875
43647.46006	2.73024	2.09003
43647.46012	0.21236	3.79918
43647.46012	7.90466	3.12578
43647.46018	3.35072	4.50016
43647.50842	6.54642	5.59292
43647.50848	2.6032	2.92569
43647.50854	5.42746	2.11576
43647.50854	4.84242	2.21615
43647.5086	9.29082	2.60552
43647.5086	5.82433	2.39516
43647.50866	6.14543	3.37153
43647.50872	9.33271	6.48406
43647.53402	-0.1716	4.57122
43647.53408	-4.50138	4.85664
43647.53408	9.30207	3.25675
43647.53414	4.15237	1.92764
43647.53414	2.93977	2.04246
43647.5342	2.78358	2.28545
43647.5342	8.66074	2.64832
43647.53426	6.58784	3.61424
43647.53432	14.93751	7.6771
43648.29717	15.72608	8.08238
43648.29723	9.97783	3.36856
43648.29729	4.25959	1.94941
43648.29729	1.43291	2.12911
43648.29735	2.85558	1.32564
43648.29735	5.29477	1.6708
43648.29741	6.72449	2.19305
43648.29741	8.76624	3.25207
43648.29747	1.77511	2.9788
43648.34565	7.34882	5.6256
43648.34571	4.75336	2.80034
43648.34577	7.38485	2.12904
43648.34577	3.83016	1.90593
43648.34583	5.3453	1.81362
43648.34583	5.21234	1.89621
43648.34589	4.10196	6.09498
43648.34589	3.24226	2.48199
43648.34595	4.03721	4.53735
43648.37114	6.01975	3.83507
43648.37119	7.57687	4.43668
43648.37119	11.60764	2.69902
43648.37125	9.06839	1.87779
43648.37125	8.1715	1.90005
43648.37131	5.54522	2.05715
43648.37131	7.93227	2.06038
43648.37137	7.12602	2.81788
43648.37143	7.81468	5.42938
43648.42127	14.49206	5.73068
43648.42133	5.76817	2.79132
43648.42139	11.42436	2.336
43648.42139	4.40095	1.91785
43648.42145	12.1963	2.27387
43648.42145	7.15743	1.90876
43648.42151	9.83914	2.8366
43648.42151	10.25953	6.00753
43648.42157	8.83547	4.54097
43648.80223	6.35028	4.41197
43648.80228	5.61026	2.71491
43648.80228	8.88184	4.77281
43648.80234	2.50937	1.61912
43648.80234	5.17603	2.04679
43648.8024	5.67971	2.63668
43648.8024	3.17804	2.208
43648.80246	7.96813	3.64663
43648.80252	1.96362	6.83226
43649.00118	-4.89775	5.22826
