TIME	RATE	ERROR
43650.09271	12.95671	7.61362
43650.09277	-5.55504	5.5559
43650.09277	14.93264	4.88433
43650.09283	5.04542	3.17981
43650.09283	4.88784	2.89439
43650.09289	-0.0547	3.79556
43650.09289	6.47325	3.80381
43650.09295	7.75138	5.73751
43650.16744	8.51245	5.79157
43650.1675	6.90593	3.79089
43650.1675	5.35316	3.96237
43650.16756	17.58114	5.62706
43650.16756	8.84346	4.58993
43650.16762	3.7442	6.30352
43650.24182	-6.5272	5.33832
43650.24188	3.79235	3.85998
43650.24188	5.62181	4.99572
43650.24194	1.30479	2.59841
43650.24194	1.76895	2.97811
43650.242	2.7657	5.50772
43650.242	5.1157	4.15831
43650.24206	-6.25616	5.95112
43650.29202	18.17956	8.92604
43650.29208	4.08136	6.14324
43650.29208	8.99439	5.28529
43650.29213	2.77834	3.82767
43650.29213	3.93398	3.49586
43650.29219	9.29122	7.30876
43650.29219	11.13641	5.4679
43650.29225	3.65791	7.95885
43650.34103	3.03448	6.60239
43650.34109	-0.91648	4.63355
43650.34109	6.5013	4.42326
43650.34115	9.5097	3.86374
43650.34115	1.48247	2.95225
43650.34121	0.82292	4.50052
43650.34121	5.92718	7.2096
43650.34127	14.75026	8.66755
43650.36669	9.56079	6.02557
43650.36675	3.11135	3.63764
43650.36675	2.7569	4.14967
43650.36681	2.61698	3.05965
43650.36681	3.14938	2.79864
43650.36687	1.90688	4.14897
43650.36687	14.83782	7.60178
43650.36693	0.28406	7.06033
43650.66769	-2.73631	6.73556
43650.66769	8.84833	6.96036
43650.66775	6.147	8.46861
43650.74272	-6.60786	7.47401
43650.74278	0.30945	7.69143
43831.0676	0.11061	8.72234
43831.06766	6.09534	6.24689
43831.06766	-6.13813	5.02063
43831.06772	3.52227	6.07972
43831.06772	-0.98415	5.50459
43831.14143	16.56619	8.09187
43831.14149	5.57401	6.58791
43831.14149	2.12644	5.87023
43831.26367	4.8992	6.8616
43831.26373	-1.75683	3.94095
43831.26373	7.6322	5.25511
43831.26379	1.57302	3.55872
43831.26379	3.39539	3.36068
43831.26385	5.0818	5.20815
43831.26391	6.61969	9.27125
43831.33798	8.98008	9.20334
43831.33803	1.44825	4.79732
43831.33803	11.83538	7.43169
43831.33809	6.35109	3.99297
43831.33809	6.3354	3.66306
43831.33815	7.24988	5.36646
43831.46081	7.08479	5.769
43831.46087	0.04566	3.60089
43831.46087	4.21647	3.6304
43831.46093	2.50795	4.32893
43831.46093	5.06482	5.01305
43831.46099	-6.99482	6.29633
43831.8827	6.72995	6.89727
43831.88276	5.4732	4.96194
43831.88276	2.97248	4.27334
43831.88281	-0.77518	5.67117
43832.00648	18.39227	7.12566
43832.00654	5.44166	4.93335
43832.00654	0.75975	4.04632
43832.0066	-5.3083	5.65779
43832.07924	18.80203	8.29964
43832.0793	12.07926	5.37249
43832.0793	5.75503	5.21744
43832.07936	3.10302	5.83936
