TIME	RATE	ERROR
45881.17345	0.33969	0.33969
45881.17354	0.31763	0.31763
45881.17359	0.33269	0.33269
45881.17373	0.23712	0.30883
45881.17377	0.31287	0.31287
45881.17382	0.32091	0.32091
45881.17386	0.33495	0.33495
45881.17396	0.32329	0.32329
45881.174	0.3334	0.3334
45881.17414	-0.08612	0.08612
45881.17423	0.33833	0.33833
45881.17433	0.3619	0.3619
45881.17437	0.39626	0.39626
45881.17442	0.32649	0.32649
45881.17447	0.31811	0.31811
45881.17465	0.38448	0.38448
45881.17484	0.30155	0.30155
45881.17488	0.62493	0.4419
45881.17498	0.61774	0.43681
45881.17507	0.62513	0.44203
45881.17521	0.30714	0.30714
45881.17525	0.31448	0.31448
45881.1753	0.62388	0.44115
45881.17539	0.60451	0.42745
45881.17544	0.30942	0.30942
45881.17558	-0.06603	0.06603
45881.17562	0.84046	0.52664
45881.17567	0.23692	0.30856
45881.17586	0.31198	0.31198
45881.1759	0.91198	0.52653
45881.17595	0.30132	0.30132
45881.17599	0.30079	0.30079
45881.17604	0.30207	0.30207
45881.17609	-0.06845	0.06845
45881.17613	0.63493	0.44896
45881.17623	0.94124	0.54342
45881.17627	0.30652	0.30652
45881.17636	1.20206	0.60103
45881.17646	0.32054	0.32054
45881.17655	0.30101	0.30101
45881.17669	-0.06638	0.06638
45881.17674	0.31825	0.31825
45881.17678	0.30903	0.30903
45881.17683	0.31838	0.31838
45881.17687	0.63397	0.44829
45881.17697	0.39203	0.39203
45881.17729	-0.07913	0.07913
45881.17738	0.352	0.352
45881.17743	-0.07192	0.07192
45881.17761	0.33029	0.33029
45881.17766	0.66017	0.46681
45881.17771	0.63804	0.45116
45881.17817	-0.06494	0.06494
45881.17826	0.87821	0.5503
45881.17831	0.30438	0.30438
45881.17836	1.01612	0.58665
45881.17845	0.31001	0.31001
45881.17859	0.31263	0.31263
45881.17868	0.30054	0.30054
45881.17873	0.24719	0.32194
45881.17886	0.30106	0.30106
45881.17914	0.2497	0.32521
45881.17919	0.30863	0.30863
45881.17924	-0.06591	0.06591
45881.17928	0.60308	0.42644
45881.17951	0.61406	0.43421
45881.17961	0.61323	0.43362
45881.17965	0.30499	0.30499
45881.1797	0.33577	0.33577
45881.17974	0.62935	0.44502
45881.17979	0.30545	0.30545
45881.17984	0.30223	0.30223
45881.17988	0.3007	0.3007
45881.17993	0.31577	0.31577
45881.17998	0.24265	0.31603
45881.18002	0.31259	0.31259
45881.18007	0.60468	0.42757
45881.18011	0.30685	0.30685
45881.18016	-0.06873	0.06873
45881.18025	0.61825	0.43717
45881.18044	0.30102	0.30102
45881.18049	0.3011	0.3011
45881.18053	0.30264	0.30264
45881.18058	0.90256	0.52109
45881.18062	0.23716	0.30888
45881.18067	0.31808	0.31808
45881.18072	0.60191	0.42561
45881.18076	0.30166	0.30166
45881.18081	0.60378	0.42694
45881.18086	0.314	0.314
45881.18113	0.3019	0.3019
45881.18118	0.31511	0.31511
45881.18123	0.30232	0.30232
45881.18136	0.90371	0.52176
