Time	Count	Error
120880149.00807	37.0	6.08276
120880150.00807	34.0	5.83095
120880151.00807	38.0	6.16441
120880152.00807	38.0	6.16441
120880153.00807	34.0	5.83095
120880154.00807	34.0	5.83095
120880155.00807	32.0	5.65685
120880156.00807	29.0	5.38516
120880157.00807	35.0	5.91608
120880158.00807	37.0	6.08276
120880159.00807	39.0	6.245
120880160.00807	38.0	6.16441
120880161.00807	34.0	5.83095
120880162.00807	34.0	5.83095
120880163.00807	36.0	6.0
120880164.00807	40.0	6.32456
120880165.00807	48.0	6.9282
120880166.00807	40.0	6.32456
120880167.00807	47.0	6.85565
120880168.00807	36.0	6.0
120880169.00807	28.0	5.2915
120880170.00807	39.0	6.245
120880171.00807	47.0	6.85565
120880172.00807	53.0	7.28011
120880173.00807	45.0	6.7082
120880174.00807	33.0	5.74456
120880175.00807	36.0	6.0
120880176.00807	29.0	5.38516
120880177.00807	37.0	6.08276
120880178.00807	34.0	5.83095
120880179.00807	26.0	5.09902
120880180.00807	32.0	5.65685
120880181.00807	46.0	6.78233
120880182.00807	42.0	6.48074
120880183.00807	37.0	6.08276
120880184.00807	35.0	5.91608
120880185.00807	34.0	5.83095
120880186.00807	37.0	6.08276
120880187.00807	39.0	6.245
120880188.00807	30.0	5.47723
120880189.00807	35.0	5.91608
120880190.00807	39.0	6.245
120880191.00807	31.0	5.56776
120880192.00807	34.0	5.83095
120880193.00807	34.0	5.83095
120880194.00807	36.0	6.0
120880195.00807	41.0	6.40312
120880196.00807	33.0	5.74456
120880197.00807	31.0	5.56776
120880198.00807	41.0	6.40312
120880199.00807	44.0	6.63325
120880200.00807	41.0	6.40312
120880201.00807	35.0	5.91608
120880202.00807	30.0	5.47723
120880203.00807	34.0	5.83095
120880204.00807	38.0	6.16441
120880205.00807	27.0	5.19615
120880206.00807	37.0	6.08276
120880207.00807	45.0	6.7082
120880208.00807	47.0	6.85565
120880209.00807	32.0	5.65685
120880210.00807	45.0	6.7082
120880211.00807	39.0	6.245
120880212.00807	37.0	6.08276
120880213.00807	38.0	6.16441
120880214.00807	36.0	6.0
120880215.00807	30.0	5.47723
120880216.00807	39.0	6.245
120880217.00807	32.0	5.65685
120880218.00807	31.0	5.56776
120880219.00807	43.0	6.55744
120880220.00807	35.0	5.91608
120880221.00807	31.0	5.56776
120880222.00807	28.0	5.2915
120880223.00807	41.0	6.40312
120880224.00807	31.0	5.56776
120880225.00807	38.0	6.16441
120880226.00807	50.0	7.07107
120880227.00807	35.0	5.91608
120880228.00807	29.0	5.38516
120880229.00807	30.0	5.47723
120880230.00807	36.0	6.0
120880231.00807	30.0	5.47723
120880232.00807	34.0	5.83095
120880233.00807	32.0	5.65685
120880234.00807	33.0	5.74456
120880235.00807	27.0	5.19615
120880236.00807	39.0	6.245
120880237.00807	35.0	5.91608
120880238.00807	33.0	5.74456
120880239.00807	53.0	7.28011
120880240.00807	38.0	6.16441
120880241.00807	38.0	6.16441
120880242.00807	31.0	5.56776
120880243.00807	38.0	6.16441
120880244.00807	30.0	5.47723
120880245.00807	36.0	6.0
120880246.00807	34.0	5.83095
120880247.00807	25.0	5.0
120880248.00807	38.0	6.16441
120880249.00807	38.0	6.16441
120880250.00807	32.0	5.65685
120880251.00807	23.0	4.79583
120880252.00807	27.0	5.19615
120880253.00807	37.0	6.08276
120880254.00807	30.0	5.47723
120880255.00807	39.0	6.245
120880256.00807	38.0	6.16441
120880257.00807	35.0	5.91608
120880258.00807	38.0	6.16441
120880259.00807	28.0	5.2915
120880260.00807	35.0	5.91608
120880261.00807	38.0	6.16441
120880262.00807	36.0	6.0
120880263.00807	34.0	5.83095
120880264.00807	34.0	5.83095
120880265.00807	42.0	6.48074
120880266.00807	47.0	6.85565
120880267.00807	35.0	5.91608
120880268.00807	30.0	5.47723
120880269.00807	27.0	5.19615
120880270.00807	38.0	6.16441
120880271.00807	34.0	5.83095
120880272.00807	43.0	6.55744
120880273.00807	31.0	5.56776
120880274.00807	34.0	5.83095
120880275.00807	31.0	5.56776
120880276.00807	35.0	5.91608
120880277.00807	27.0	5.19615
120880278.00807	36.0	6.0
120880279.00807	40.0	6.32456
120880280.00807	40.0	6.32456
120880281.00807	38.0	6.16441
120880282.00807	36.0	6.0
120880283.00807	40.0	6.32456
120880284.00807	31.0	5.56776
120880285.00807	37.0	6.08276
120880286.00807	30.0	5.47723
120880287.00807	33.0	5.74456
120880288.00807	19.0	4.3589
120880289.00807	42.0	6.48074
120880290.00807	23.0	4.79583
120880291.00807	36.0	6.0
120880292.00807	36.0	6.0
120880293.00807	45.0	6.7082
120880294.00807	32.0	5.65685
120880295.00807	32.0	5.65685
120880296.00807	31.0	5.56776
120880297.00807	29.0	5.38516
120880298.00807	28.0	5.2915
120880299.00807	37.0	6.08276
120880300.00807	35.0	5.91608
120880301.00807	25.0	5.0
120880302.00807	30.0	5.47723
120880303.00807	33.0	5.74456
120880304.00807	31.0	5.56776
120880305.00807	48.0	6.9282
120880306.00807	36.0	6.0
120880307.00807	32.0	5.65685
120880308.00807	33.0	5.74456
120880309.00807	31.0	5.56776
120880310.00807	24.0	4.89898
120880311.00807	36.0	6.0
120880312.00807	33.0	5.74456
120880313.00807	30.0	5.47723
120880314.00807	30.0	5.47723
120880315.00807	33.0	5.74456
120880316.00807	35.0	5.91608
120880317.00807	35.0	5.91608
120880318.00807	27.0	5.19615
120880319.00807	32.0	5.65685
120880320.00807	32.0	5.65685
120880321.00807	25.0	5.0
120880322.00807	29.0	5.38516
120880323.00807	34.0	5.83095
120880324.00807	32.0	5.65685
120880325.00807	29.0	5.38516
120880326.00807	32.0	5.65685
120880327.00807	18.0	4.24264
120880328.00807	35.0	5.91608
120880329.00807	34.0	5.83095
120880330.00807	30.0	5.47723
120880331.00807	32.0	5.65685
120880332.00807	48.0	6.9282
120880333.00807	44.0	6.63325
120880334.00807	36.0	6.0
120880335.00807	29.0	5.38516
120880336.00807	30.0	5.47723
120880337.00807	29.0	5.38516
120880338.00807	23.0	4.79583
120880339.00807	30.0	5.47723
120880340.00807	33.0	5.74456
120880341.00807	31.0	5.56776
120880342.00807	37.0	6.08276
120880343.00807	36.0	6.0
120880344.00807	29.0	5.38516
120880345.00807	31.0	5.56776
120880346.00807	34.0	5.83095
120880347.00807	36.0	6.0
120880348.00807	27.0	5.19615
120880349.00807	35.0	5.91608
120880350.00807	29.0	5.38516
120880351.00807	45.0	6.7082
120880352.00807	47.0	6.85565
120880353.00807	32.0	5.65685
120880354.00807	26.0	5.09902
120880355.00807	39.0	6.245
120880356.00807	26.0	5.09902
120880357.00807	31.0	5.56776
