Time	Count	Error
153289579.02773	87.0	9.32738
153289580.02773	115.0	10.72381
153289581.02773	99.0	9.94987
153289582.02773	153.0	12.36932
153289583.02773	159.0	12.60952
153289584.02773	199.0	14.10674
153289585.02773	101.0	10.04988
153289586.02773	151.0	12.28821
153289587.02773	78.0	8.83176
153289588.02773	71.0	8.42615
153289589.02773	231.0	15.19868
153289590.02773	161.0	12.68858
153289591.02773	263.0	16.21727
153289592.02773	230.0	15.16575
153289593.02773	107.0	10.34408
153289594.02773	105.0	10.24695
153289595.02773	167.0	12.92285
153289596.02773	220.0	14.8324
153289597.02773	118.0	10.86278
153289598.02773	134.0	11.57584
153289599.02773	170.0	13.0384
153289600.02773	127.0	11.26943
153289601.02773	164.0	12.80625
153289602.02773	86.0	9.27362
153289603.02773	164.0	12.80625
153289604.02773	97.0	9.84886
153289605.02773	191.0	13.82027
153289606.02773	198.0	14.07125
153289607.02773	173.0	13.15295
153289608.02773	201.0	14.17745
153289609.02773	71.0	8.42615
153289610.02773	246.0	15.68439
153289611.02773	77.0	8.77496
153289612.02773	126.0	11.22497
153289613.02773	103.0	10.14889
153289614.02773	200.0	14.14214
153289615.02773	67.0	8.18535
153289616.02773	92.0	9.59166
153289617.02773	201.0	14.17745
153289618.02773	289.0	17.0
153289619.02773	184.0	13.56466
153289620.02773	100.0	10.0
153289621.02773	114.0	10.67708
153289622.02773	133.0	11.53256
153289623.02773	140.0	11.83216
153289624.02773	88.0	9.38083
153289625.02773	194.0	13.92839
153289626.02773	121.0	11.0
153289627.02773	223.0	14.93318
153289628.02773	177.0	13.30413
153289629.02773	109.0	10.44031
153289630.02773	361.0	19.0
153289631.02773	59.0	7.68115
153289632.02773	253.0	15.90597
153289633.02773	144.0	12.0
153289634.02773	299.0	17.29162
153289635.02773	86.0	9.27362
153289636.02773	126.0	11.22497
153289637.02773	83.0	9.11043
153289638.02773	99.0	9.94987
153289639.02773	163.0	12.76715
153289640.02773	233.0	15.26434
153289641.02773	81.0	9.0
153289642.02773	122.0	11.04536
153289643.02773	115.0	10.72381
153289644.02773	250.0	15.81139
153289645.02773	108.0	10.3923
153289646.02773	113.0	10.63015
153289647.02773	219.0	14.79865
153289648.02773	87.0	9.32738
153289649.02773	70.0	8.3666
153289650.02773	74.0	8.60233
153289651.02773	172.0	13.11488
153289652.02773	272.0	16.49242
153289653.02773	188.0	13.71131
153289654.02773	176.0	13.2665
153289655.02773	313.0	17.69181
153289656.02773	402.0	20.04994
153289657.02773	113.0	10.63015
153289658.02773	174.0	13.19091
153289659.02773	287.0	16.94107
153289660.02773	101.0	10.04988
153289661.02773	123.0	11.09054
153289662.02773	83.0	9.11043
153289663.02773	81.0	9.0
153289664.02773	110.0	10.48809
153289665.02773	132.0	11.48913
153289666.02773	235.0	15.32971
153289667.02773	158.0	12.56981
153289668.02773	304.0	17.4356
153289669.02773	84.0	9.16515
153289670.02773	313.0	17.69181
153289671.02773	93.0	9.64365
153289672.02773	92.0	9.59166
153289673.02773	188.0	13.71131
153289674.02773	117.0	10.81665
153289675.02773	97.0	9.84886
153289676.02773	101.0	10.04988
153289677.02773	223.0	14.93318
153289678.02773	217.0	14.73092
153289679.02773	251.0	15.84298
153289680.02773	168.0	12.96148
153289681.02773	189.0	13.74773
153289682.02773	235.0	15.32971
153289683.02773	547.0	23.38803
153289684.02773	166.0	12.8841
153289685.02773	384.0	19.59592
153289686.02773	285.0	16.88194
153289687.02773	81.0	9.0
153289688.02773	90.0	9.48683
153289689.02773	334.0	18.27567
153289690.02773	129.0	11.35782
153289691.02773	294.0	17.14643
153289692.02773	207.0	14.38749
153289693.02773	186.0	13.63818
153289694.02773	73.0	8.544
153289695.02773	160.0	12.64911
153289696.02773	80.0	8.94427
153289697.02773	306.0	17.49286
153289698.02773	119.0	10.90871
153289699.02773	244.0	15.6205
153289700.02773	179.0	13.37909
153289701.02773	313.0	17.69181
153289702.02773	200.0	14.14214
153289703.02773	196.0	14.0
153289704.02773	78.0	8.83176
153289705.02773	74.0	8.60233
153289706.02773	71.0	8.42615
153289707.02773	126.0	11.22497
153289708.02773	99.0	9.94987
153289709.02773	103.0	10.14889
153289710.02773	367.0	19.15724
153289711.02773	104.0	10.19804
153289712.02773	94.0	9.69536
153289713.02773	92.0	9.59166
153289714.02773	118.0	10.86278
153289715.02773	90.0	9.48683
153289716.02773	122.0	11.04536
153289717.02773	122.0	11.04536
153289718.02773	221.0	14.86607
153289719.02773	148.0	12.16553
153289720.02773	173.0	13.15295
153289721.02773	151.0	12.28821
153289722.02773	151.0	12.28821
153289723.02773	67.0	8.18535
153289724.02773	338.0	18.38478
153289725.02773	83.0	9.11043
153289726.02773	238.0	15.42725
153289727.02773	306.0	17.49286
153289728.02773	255.0	15.96872
153289729.02773	479.0	21.88607
153289730.02773	207.0	14.38749
153289731.02773	95.0	9.74679
153289732.02773	107.0	10.34408
153289733.02773	434.0	20.83267
153289734.02773	262.0	16.18641
153289735.02773	135.0	11.61895
153289736.02773	177.0	13.30413
153289737.02773	77.0	8.77496
153289738.02773	119.0	10.90871
153289739.02773	156.0	12.49
153289740.02773	397.0	19.92486
153289741.02773	84.0	9.16515
153289742.02773	117.0	10.81665
153289743.02773	92.0	9.59166
153289744.02773	97.0	9.84886
153289745.02773	99.0	9.94987
153289746.02773	119.0	10.90871
153289747.02773	108.0	10.3923
153289748.02773	121.0	11.0
153289749.02773	83.0	9.11043
153289750.02773	88.0	9.38083
153289751.02773	214.0	14.62874
153289752.02773	727.0	26.96294
153289753.02773	95.0	9.74679
153289754.02773	151.0	12.28821
153289755.02773	76.0	8.7178
153289756.02773	444.0	21.07131
153289757.02773	254.0	15.93738
153289758.02773	416.0	20.39608
153289759.02773	119.0	10.90871
